coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,moving_average,volatility,liquidity_ratio
USD Coin,USDC,0.999874,-0.001,0.0,-0.0,3872273611.0,52222137400.0,2022-03-16,8797.8599748,17959.41659425083,0.07415004064923623
XRP,XRP,0.785018,0.019,0.019,0.089,3925204682.0,37530785877.0,2022-03-16,626.1249783999999,1195.684425979434,0.10458626405703601
Terra,LUNA,89.51,0.024,-0.005,0.046,2661508267.0,32945963147.0,2022-03-16,95.1449784,165.65807136039814,0.08078404796134643
Solana,SOL,85.61,0.024,0.0139999999999999,0.0409999999999999,1776167313.0,27535891424.0,2022-03-16,112.0669784,157.7706047260859,0.06450371573777745
Cardano,ADA,0.824161,0.016,0.016,0.0279999999999999,950718327.0,26331888060.0,2022-03-16,35.545810599999996,47.50232674924161,0.03610520919858414
Polkadot,DOT,18.55,0.031,0.035,0.095,762198942.0,20175265447.0,2022-03-16,39.0558358,44.887967887351515,0.03777888048126458
Avalanche,AVAX,73.69,0.034,0.032,0.011,866838890.0,19563622731.0,2022-03-16,53.6368322,41.02304595861809,0.044308710197443646
Dogecoin,DOGE,0.11566,0.015,0.023,-0.011,451839687.0,15312260998.0,2022-03-16,18.8359642,31.630853140813755,0.02950835850166195
TerraUSD,UST,1.0,-0.001,0.003,0.001,742209053.0,15025463384.0,2022-03-16,18.871132,31.60590871269278,0.04939674963970482
Shiba Inu,SHIB,2.241815e-05,0.024,0.0279999999999999,-0.021,546344871.0,12186102832.0,2022-03-16,15.161136483629999,32.722046007437974,0.0448334367871351
Wrapped Bitcoin,WBTC,40820.44,0.02,0.03,0.055,443045583.0,11077637101.0,2022-03-16,8164.511136483631,18255.21920792894,0.03999459261578495
Cronos,CRO,0.401575,0.018,0.043,0.038,99233479.0,10108572460.0,2022-03-16,8164.3914514836315,18255.286111856374,0.009816764868894257
Polygon,MATIC,1.44,0.0289999999999999,0.034,-0.0,665458992.0,9860943646.0,2022-03-16,8164.65631948363,18255.138050368467,0.06748431142996515
Dai,DAI,0.999429,-0.0,-0.001,-0.0,311112491.0,9375312310.0,2022-03-16,8164.656205283631,18255.138114205947,0.033184226904970165
Cosmos Hub,ATOM,28.8,0.017,0.051,0.035,784802946.0,8346059118.0,2022-03-16,8170.4162008,18251.92215902099,0.09403275664647646
Litecoin,LTC,109.44,0.016,0.013,0.089,735718470.0,7629784997.0,2022-03-16,28.216200800000003,46.98142553938925,0.09642715624218526
Lido Staked Ether,STETH,2745.31,0.026,0.035,0.067,20327033.0,6972219575.0,2022-03-16,577.1978858,1212.822083540941,0.002915432134823436
Near,NEAR,10.61,0.0409999999999999,0.032,0.091,402450393.0,6885969777.0,2022-03-16,579.0318857999999,1211.7402255426682,0.05844498393592064
Chainlink,LINK,14.41,0.023,0.064,0.102,720924698.0,6696893329.0,2022-03-16,581.7139999999999,1210.154729871348,0.1076506168730704
TRON,TRX,0.060751875857,0.011,0.005,0.003,608305288.0,6139215131.0,2022-03-16,575.9661503751713,1213.5010611553662,0.09908518841901454
FTX Token,FTT,42.37,0.02,0.024,0.045,91093038.0,5803217982.0,2022-03-16,562.5521503751713,1220.2989211082795,0.015696987134128988
LEO Token,LEO,5.97,0.0069999999999999,0.01,0.055,831673.0,5547865232.0,2022-03-16,71.6761503751714,126.20695486753573,0.00014990865228717583
OKB,OKB,19.05,0.013,0.039,0.072,180398248.0,4944831000.0,2022-03-16,72.6041503751714,125.696634434124,0.03648218675218627
Algorand,ALGO,0.731009,0.025,0.0139999999999999,-0.01,151572159.0,4824820884.0,2022-03-16,72.7382018,125.60024837619328,0.03141508516982285
Stellar,XLM,0.186969,0.017,0.026,0.079,257508818.0,4584325546.0,2022-03-16,64.3015956,129.50604392074771,0.05617158192979692
Uniswap,UNI,9.05,0.032,0.04,0.025,188489995.0,4103226435.0,2022-03-16,6.9975955999999995,7.684131548747811,0.04593702004651859
Hedera,HBAR,0.200008,0.012,-0.0069999999999999,-0.024,65559083.0,3922919996.0,2022-03-16,5.8435972,8.286678972307806,0.01671180729325279
Axie Infinity,AXS,50.46,0.036,0.062,0.089,288996469.0,3733676299.0,2022-03-16,12.1255972,21.757601530594023,0.07740265782478321
Decentraland,MANA,2.43,0.021,0.065,0.0139999999999999,481292822.0,3652548066.0,2022-03-16,12.4653954,21.5474102167168,0.13176905910702394
Ethereum Classic,ETC,26.93,0.0279999999999999,0.031,0.01,315618129.0,3573077723.0,2022-03-16,17.8140016,21.051072645774383,0.08833228758735288
Elrond,EGLD,162.55,0.025,0.049,0.2289999999999999,318813970.0,3550487729.0,2022-03-16,48.51400160000001,66.954914209024,0.08979441539706276
Internet Computer,ICP,16.26,0.02,0.019,-0.035,158065484.0,3447698400.0,2022-03-16,42.25000000000001,68.0113847086922,0.04584666802641438
Monero,XMR,189.34,0.003,0.011,-0.073,251596905.0,3416516046.0,2022-03-16,79.632,88.83265148577884,0.07364136494970233
cETH,CETH,53.71,-0.001,0.009,0.04,1088.54,3191011869.0,2022-03-16,84.988,85.60954310118622,3.411269041569334e-07
VeChain,VET,0.047848054559,0.0279999999999999,0.033,0.0279999999999999,283498801.0,3172681612.0,2022-03-16,52.487569610911805,79.42535988446923,0.08935620893307589
Filecoin,FIL,17.27,0.016,0.01,-0.0409999999999999,264401106.0,3052322720.0,2022-03-16,52.317569610911804,79.60606578560513,0.08662291974159272
Osmosis,OSMO,9.39,0.0139999999999999,0.018,-0.001,94042665.0,3040277019.0,2022-03-16,16.3275696109118,22.021195144763883,0.030932268478262637
Klaytn,KLAY,1.1,0.016,0.023,-0.012,57133059.0,3034567731.0,2022-03-16,5.8055696109118005,7.426346626624411,0.018827412687596395
Frax,FRAX,0.998392,-0.002,0.001,-0.0,18194194.0,2866968260.0,2022-03-16,5.9956784,7.2522305048003055,0.0063461442018196606
Theta Network,THETA,2.82,0.032,0.033,-0.004,118835496.0,2798708447.0,2022-03-16,8.5856784,11.713948081443927,0.04246083443503467
Magic Internet Money,MIM,0.997676,0.0,0.004,0.002,44641451.0,2784271477.0,2022-03-16,6.907213600000001,12.162554680051999,0.01603344047761475
The Graph,GRT,0.440816,0.003,0.0409999999999999,0.315,388652958.0,2731591470.0,2022-03-16,6.775376800000001,12.244535605700888,0.14228077743997347
Tezos,XTZ,3.05,0.021,0.025,0.013,114838106.0,2665887669.0,2022-03-16,7.1856984,12.035132619154291,0.04307687354399178
cUSDC,CUSDC,0.022533007284,-0.001,0.001,0.001,41.83,2449140377.0,2022-03-16,1.4662050014568,1.3871101548005351,1.707946199933153e-08
Helium,HNT,21.72,-0.002,0.048,0.026,22415718.0,2183873719.0,2022-03-16,5.246205001456799,9.282210799038952,0.010264200628900924
THORChain,RUNE,7.23,0.04,-0.059,0.769,297836092.0,2165143023.0,2022-03-16,6.492669801456799,8.982689195099464,0.13755954633764625
EOS,EOS,2.06,0.019,0.032,0.048,337828464.0,2019196307.0,2022-03-16,6.816506601456799,8.73576122144486,0.16730838048229454
ECOMI,OMI,0.003406821495,0.019,0.027,-0.2189999999999999,3444049.0,1976983567.0,2022-03-16,6.207187965755799,9.160096985106478,0.0017420726492057888
IOTA,MIOTA,0.712336,0.018,0.011,0.012,26950213.0,1976598984.0,2022-03-16,6.3451485642989995,9.048173609114402,0.013634638699176829
cDAI,CDAI,0.021895790224,-0.001,0.0,-0.0,93.89,1942222665.0,2022-03-16,2.0055277223437993,3.037832547967202,4.834152216012782e-08
Flow,FLOW,5.43,0.017,0.023,-0.053,57457444.0,1923544184.0,2022-03-16,1.6455277223437992,2.274731091711115,0.029870613047482772
Theta Fuel,TFUEL,0.162482,0.024,0.0069999999999999,0.064,16105407.0,1886178774.0,2022-03-16,1.2660241223437991,2.3454812188512797,0.008538642901725286
Aave,AAVE,137.44,0.037,0.131,0.129,282336331.0,1862097786.0,2022-03-16,28.753342758044802,60.79884703588049,0.15162271988223072
Zcash,ZEC,148.94,0.02,0.065,0.075,276825707.0,1801878133.0,2022-03-16,58.3988755580448,77.54070809513713,0.1536317589575854
Maker,MKR,1982.58,0.0289999999999999,0.071,0.129,92847731.0,1772467945.0,2022-03-16,454.9104964,856.8850632123756,0.052383306147745314
JUNO,JUNO,38.35,0.018,0.096,-0.03,11491328.0,1747597737.0,2022-03-16,461.4944964,852.6841782663338,0.006575499473767057
BitTorrent,BTT,1.812224e-06,0.0069999999999999,0.022,0.003,87836205.0,1675881629.0,2022-03-16,434.0195565624448,867.8151411721935,0.05241193857612243
Arweave,AR,32.52,-0.003,0.074,0.002,50636342.0,1637697784.0,2022-03-16,410.7355565624448,878.8676370849106,0.03091922239543068
Huobi BTC,HBTC,41217.27,0.026,0.039,0.068,190002.0,1637583015.0,2022-03-16,8257.673556562444,18424.983119014865,0.00011602587365624331
PancakeSwap,CAKE,5.57,0.026,0.01,-0.068,104112686.0,1530696417.0,2022-03-16,8251.117556562445,18428.644349347967,0.06801654779074327
Quant,QNT,112.58,0.018,0.003,0.013,23727064.0,1505335556.0,2022-03-16,8273.588000362444,18416.132989079797,0.01576197672700159
Harmony,ONE,0.127445,0.025,0.017,-0.012,75144435.0,1499937034.0,2022-03-16,8273.613489,18416.118675456757,0.0500983929969423
eCash,XEC,7.9294818e-05,0.019,-0.005,0.144,37446216.0,1497455570.0,2022-03-16,8267.109504858963,18419.762170857386,0.025006562298205616
Bitcoin SV,BSV,77.11,0.013,0.015,-0.019,135219354.0,1461042552.0,2022-03-16,39.0775048589636,52.478549695685565,0.0925499081562684
NEO,NEO,20.13,0.024,0.0279999999999999,-0.017,148274906.0,1406977569.0,2022-03-16,41.9895048589636,50.5218988438607,0.10538540859992915
TrueUSD,TUSD,1.0,0.0,0.001,0.001,114862495.0,1404670246.0,2022-03-16,19.6735048589636,33.2300740124185,0.08177185736445079
Huobi Token,HT,8.98,0.01,0.009,-0.025,32112940.0,1392164927.0,2022-03-16,21.444015858963603,32.146462945540954,0.023066907790300913
KuCoin Token,KCS,18.41,0.0139999999999999,0.009,0.02,8578734.0,1390455505.0,2022-03-16,25.125999999999998,30.06309249074068,0.006169729249984162
Celsius Network,CEL,3.18,0.009,0.032,0.098,3927635.0,1346075894.0,2022-03-16,10.34,8.679282810623715,0.0029178406786029257
Stacks,STX,1.26,0.018,0.026,0.183,44370134.0,1317492670.0,2022-03-16,6.566,7.360480969799323,0.03367770843081806
Humans.ai,HEART,0.044270474958,0.025,0.086,-0.547,1852838.0,1309127902.0,2022-03-16,6.3748540949915995,7.551103175031894,0.0014153223662633386
Enjin Coin,ENJ,1.4,0.018,0.05,0.046,133821819.0,1300650179.0,2022-03-16,4.8588540949916,7.657475836069662,0.10288840240108867
NEXO,NEXO,2.19,0.015,0.031,0.098,4583402.0,1222563065.0,2022-03-16,1.1433750949916,0.7883219914469289,0.003749010690094748
Amp,AMP,0.025036137658,0.018,0.0069999999999999,0.003,8084731.0,1198878147.0,2022-03-16,0.8963823225231999,0.9243727272529678,0.006743580254782974
Radix,XRD,0.121859,0.015,0.064,-0.001,215995.0,1198319388.0,2022-03-16,0.9119000275316,0.9069795389208469,0.0001802482728419312
Kusama,KSM,126.84,0.025,0.04,0.038,65896976.0,1132594631.0,2022-03-16,25.999900027531602,56.37796521831298,0.058182313597776536
Celo,CELO,2.52,0.022,0.037,-0.076,46620149.0,1074226736.0,2022-03-16,26.3393790275316,56.19326725478672,0.043398797886557164
Kadena,KDA,6.23,0.024,0.009,0.031,58659719.0,1061714057.0,2022-03-16,27.1473790275316,55.7867892886145,0.05525001634220616
Chiliz,CHZ,0.198241,0.026,0.024,0.02,109408277.0,1049331415.0,2022-03-16,27.18202,55.76578698703915,0.10426474937853643
Frax Share,FXS,17.92,0.006,-0.011,0.006,4834916.0,1031430071.0,2022-03-16,24.9016482,41.229352967693345,0.004687584874573625
Pax Dollar,USDP,0.999025,-0.002,0.001,-0.001,57639449.0,994783973.0,2022-03-16,24.5974532,41.440839552430226,0.05794167433777102
BitDAO,BIT,1.12,0.025,0.019,0.036,54570658.0,993438990.0,2022-03-16,23.5754532,42.06535921320847,0.05493106124212016
GateToken,GT,6.52,0.012,0.031,-0.005,7695401.0,979761512.0,2022-03-16,24.839805000000002,41.2746268583612,0.0078543613989197
Convex Finance,CVX,18.29,0.038,0.054,0.147,45253981.0,979304335.0,2022-03-16,8.969805,8.633167765768752,0.046210334604512904
Synthetix Network Token,SNX,4.24,0.053,0.079,0.084,63349615.0,903998693.0,2022-03-16,6.233804999999999,7.123252899616937,0.07007710906059905
Xido Finance,XIDO,30.86,-0.027,-0.049,0.7659999999999999,1464061.0,893636559.0,2022-03-16,12.206,12.284888282226765,0.0016383181565874142
Loopring,LRC,0.710702,0.03,0.035,-0.033,112235393.0,881663508.0,2022-03-16,12.1241404,12.378235895770976,0.1272995785598512
NEM,XEM,0.098240605826,0.021,0.043,0.037,20866042.0,879585159.0,2022-03-16,10.8397885211652,13.396370525805375,0.023722594437271538
Anchor Protocol,ANC,3.1,0.06,0.088,-0.18,107525684.0,807556039.0,2022-03-16,7.8017885211652,13.000984850499147,0.13314950146760032
Oasis Network,ROSE,0.227889,0.036,0.07,0.027,65843862.0,794382929.0,2022-03-16,6.9993663211651995,13.393661167540811,0.08288680382757822
Curve DAO Token,CRV,2.02,0.026,0.022,-0.006,150926378.0,791197822.0,2022-03-16,1.2313663211651993,1.2918753121246025,0.19075681682045884
Decred,DCR,56.87,0.02,0.143,0.088,25032753.0,787162797.0,2022-03-16,12.463225921165199,24.856029868173366,0.031801239966375086
cUSDT,CUSDT,0.021768404499,0.0,0.0,0.0,8111.5,775425368.0,2022-03-16,12.447931480899799,24.865562113699777,1.0460710127296221e-05
Secret,SCRT,4.61,0.017,0.008,0.027,19871872.0,763750478.0,2022-03-16,12.749931480899798,24.732458651783556,0.02601880139183363
LINK,LN,129.46,0.036,0.018,0.024,1207902.0,759436472.0,2022-03-16,38.5963536808998,56.06029987206936,0.0015905240853378451
Mina Protocol,MINA,1.81,0.015,0.105,-0.004,70360743.0,756143474.0,2022-03-16,38.5543536808998,56.094621479094,0.09305210640487523
Holo,HOT,0.00414796568,0.027,0.027,0.0279999999999999,63199499.0,734353201.0,2022-03-16,27.181183274035806,57.206504592163235,0.08606144688133524
Compound,COMP,109.58,0.026,0.045,0.052,40756551.0,726097698.0,2022-03-16,49.092829593135995,64.69479621717991,0.05613094644462018
IoTeX,IOTX,0.076638517501,0.042,0.0069999999999999,0.1169999999999999,91722669.0,717099434.0,2022-03-16,48.1861572966362,65.50080384242379,0.12790788090344526
Bitkub Coin,KUB,7.89,0.004,0.0,-0.034,2193655.0,698922310.0,2022-03-16,23.872157296636196,48.02059719828195,0.0031386249496027675
Neutrino USD,USDN,1.0,0.003,-0.001,0.0069999999999999,15319422.0,687954763.0,2022-03-16,23.710157296636197,48.11490568404744,0.02226806590188547
yearn.finance,YFI,18982.86,0.017,0.017,-0.0139999999999999,81875140.0,678377900.0,2022-03-16,3820.2813277035007,8476.265358339926,0.12069252256006571
Nexus Mutual,NXM,92.51,0.026,0.035,0.065,1909.73,633750394.0,2022-03-16,3816.8673277035,8478.136796360708,3.0133787972051343e-06
XDC Network,XDC,0.050635431946,-0.002,-0.022,0.0969999999999999,9930593.0,616292915.0,2022-03-16,3816.86212708639,8478.13972296447,0.016113430413198893
1inch,1INCH,1.5,0.021,0.111,0.163,120457113.0,616145134.0,2022-03-16,3815.5841270863893,8478.857882667577,0.19550119988450643
WAX,WAXP,0.274089,0.021,0.02,0.0,26837225.0,615219740.0,2022-03-16,3815.438944886389,8478.939534172456,0.043622177987981986
Smooth Love Potion,SLP,0.016547553043,0.019,0.018,-0.076,99341158.0,614525601.0,2022-03-16,18.8702543969978,41.170364213853574,0.16165503575171639
Qtum,QTUM,5.95,0.0289999999999999,0.023,0.036,79032386.0,612948390.0,2022-03-16,1.5582543969978002,2.5293121205870555,0.12893807584680989
PAX Gold,PAXG,1935.78,0.0069999999999999,0.005,-0.057,30748651.0,611668819.0,2022-03-16,388.7041273106086,864.8449923768987,0.05027009722396852
renBTC,RENBTC,40555.22,0.016,0.034,0.048,14829115.0,602582895.0,2022-03-16,8500.01730951061,17938.935916631697,0.024609253138524616
Livepeer,LPT,23.82,0.03,0.023,0.024,11291907.0,589774119.0,2022-03-16,8504.778,17936.11915827725,0.019146155513141465
Ankr,ANKR,0.072181812557,0.023,0.016,-0.064,40789205.0,587511707.0,2022-03-16,8503.602436362513,17936.81562185899,0.06942705058301077
Bancor Network Token,BNT,2.29,0.017,0.033,0.062,26117403.0,583581643.0,2022-03-16,8116.904436362512,18133.5722037834,0.04475364040880223
Pocket Network,POKT,0.699085,0.019,-0.003,-0.055,974551.0,580439408.0,2022-03-16,8116.420253362511,18133.843040933607,0.0016789883432587335
Marinade staked SOL,MSOL,88.63,0.025,0.0139999999999999,0.043,18662090.0,578275391.0,2022-03-16,23.102253362511398,37.94679426022514,0.032271976795913836
OMG Network,OMG,4.11,0.019,0.016,0.081,106689838.0,574825195.0,2022-03-16,19.160253362511398,38.866214396508745,0.1856039695685225
Zilliqa,ZIL,0.041008132304,0.033,0.032,0.047,37965285.0,571307984.0,2022-03-16,19.1540186264608,38.87004423196125,0.06645327225113662
SafeMoon,SFM,0.001028389235,0.038,-0.034,-0.088,406894.0,566255393.0,2022-03-16,18.696224304307798,39.130919318887585,0.000718569756738723
Render Token,RNDR,2.43,0.024,0.035,-0.031,23720000.0,560228533.0,2022-03-16,19.042407304307797,38.93908448974216,0.0423398641853895
Fei USD,FEI,1.0,0.001,0.0,0.003,10254055.0,557210659.0,2022-03-16,1.5164073043078001,1.7536553074732593,0.018402474601621
Gnosis,GNO,298.83,0.021,0.025,-0.003,2883611.0,553256284.0,2022-03-16,60.46040730430779,133.25630494117323,0.005212070939622622
ICON,ICX,0.753601,0.026,-0.013,0.21,45059623.0,549632622.0,2022-03-16,60.602925877847,133.1758880121839,0.08198134753362583
Ravencoin,RVN,0.051804162049,0.027,0.042,0.006,19390191.0,538520749.0,2022-03-16,60.613081032409795,133.17011342407153,0.03600639536360743
IOST,IOST,0.022568760363,0.025,0.011,0.015,35343794.0,517770891.0,2022-03-16,60.1315947844824,133.4371542632061,0.06826145427321831
Bitcoin Gold,BTG,29.74,0.018,0.0279999999999999,0.032,9146317.0,517358240.0,2022-03-16,65.8795947844824,130.84705056213414,0.017678885330984582
Kava,KAVA,3.16,0.023,0.035,0.034,22753924.0,504959645.0,2022-03-16,6.7455947844824,12.918098380695158,0.045060876102287345
UMA,UMA,7.74,0.018,0.018,-0.016,46067620.0,503487995.0,2022-03-16,8.1428745844824,12.478300776901062,0.09149695813501968
OEC Token,OKT,32.27,0.023,0.01,-0.062,5163788.0,488521386.0,2022-03-16,14.586513752072602,15.263373584665064,0.010570239395824526
Songbird,SGB,0.062799688152,0.022,0.006,-0.1369999999999999,2629530.0,486741272.0,2022-03-16,14.594559937630402,15.253784329828425,0.005402315668024962
e-Radix,EXRD,0.122181,0.022,0.063,0.004,2588295.0,484119330.0,2022-03-16,8.670996137630402,13.558522250707615,0.005346398789736407
Velas,VLX,0.213154,-0.0,0.004,-0.037,4105033.0,483094532.0,2022-03-16,8.0816269376304,13.91726748879137,0.008497370034401465
Rocket Pool,RPL,30.03,0.024,0.0409999999999999,0.15,578038.0,480593962.0,2022-03-16,12.5396269376304,17.007401980746582,0.0012027575161254315
Tether Gold,XAUT,1950.12,0.003,-0.002,-0.044,3689853.0,480346972.0,2022-03-16,396.1096269376304,868.8146662038857,0.007681641011780959
Moonbeam,GLMR,2.38,0.023,0.038,-0.036,37324761.0,476681084.0,2022-03-16,396.57306700000004,868.551171882591,0.07830132609163908
Sapphire,SAPP,0.564647,0.02,0.001,0.0139999999999999,432768.0,470978131.0,2022-03-16,396.6615602,868.5007019657451,0.0009188706895607432
Horizen,ZEN,38.73,0.015,0.061,0.026,29127070.0,469969529.0,2022-03-16,404.36492940000005,864.2657043385872,0.06197650741735641
WOO Network,WOO,0.492556,0.019,0.087,0.124,60339780.0,467152311.0,2022-03-16,398.45744060000004,867.5587290337658,0.12916511077690035
Liquity USD,LUSD,1.0,0.0,0.0,-0.008,3222808.0,464727068.0,2022-03-16,8.633440600000046,16.8415947527833,0.006934840300716032
Golem,GLM,0.465346,0.016,0.022,-0.085,15905189.0,464458665.0,2022-03-16,8.250509800000044,17.03992609532669,0.03424457373402647
Rally,RLY,0.180078,0.026,0.001,-0.0579999999999999,3356848.0,464413872.0,2022-03-16,8.173596000000044,17.08410174059245,0.007228138956193798
Baby Doge Coin,BABYDOGE,2.864e-09,0.026,0.021,-0.039,10651029.0,452640717.0,2022-03-16,0.42759600057284547,0.37993265490234446,0.02353086808140594
Audius,AUDIO,0.735289,0.027,0.026,0.02,7909768.0,447883958.0,2022-03-16,0.4761426005728454,0.4049896935598228,0.017660306556458536
Siacoin,SC,0.008880296534,0.018,0.022,-0.004,12295120.0,446937901.0,2022-03-16,0.2779186598796454,0.31761235810177557,0.02750968305102413
Metis Token,METIS,146.38,0.026,0.009,-0.047,38905039.0,436965500.0,2022-03-16,29.460849459879643,65.36047984631094,0.08903457824473557
Ontology,ONT,0.499727,0.021,0.0289999999999999,-0.011,30824913.0,433758425.0,2022-03-16,29.524779259879644,65.32482664484056,0.07106470150983235
0x,ZRX,0.509791,0.025,0.035,0.0279999999999999,29309302.0,427933388.0,2022-03-16,29.626737459306845,65.26759701583777,0.06849033709891317
APENFT,NFT,1.523622e-06,0.004,0.005,-0.047,69002807.0,421365369.0,2022-03-16,29.47967996403124,65.34974452796011,0.16376003363484767
SKALE,SKL,0.12635,0.013,0.043,0.1119999999999999,11283316.0,407687711.0,2022-03-16,29.503173904724445,65.33652046632861,0.02767637016167014
SwissBorg,CHSB,0.428284,0.022,0.026,-0.054,1063375.0,403883855.0,2022-03-16,0.31283070472444546,0.2343559178435675,0.0026328732551094422
Dogelon Mars,ELON,7.24104e-07,0.043,0.072,0.0279999999999999,10950097.0,394017729.0,2022-03-16,1.0389272495452455,2.020652304738059,0.027790873846694344
Olympus,OHM,28.12,0.0139999999999999,-0.019,-0.086,3529301.0,390854092.0,2022-03-16,6.662926944820846,12.150004266828784,0.009029714853285967
